"sample","latitude","longitude","date","time","site","depth","mean.relief","sd.relief","fieldofview.limited","fieldofview.open","broad.bryozoa","broad.crinoids","broad.hydrocoral","broad.hydroids","broad.octocoral.black","broad.sponges","broad.unconsolidated","campaignid","Acanthuridae Acanthurus grammoptilus","Acanthuridae Acanthurus mata","Acanthuridae Naso hexacanthus","Apogonidae Cheilodipterus quinquelineatus","Apogonidae Ostorhinchus fasciatus","Ariidae Netuma thalassina","Balistidae Abalistes filamentosus","Balistidae Abalistes stellatus","Balistidae Pseudobalistes flavimarginatus","Balistidae Pseudobalistes fuscus","Balistidae Sufflamen fraenatum","Balistidae Xanthichthys lineopunctatus","Blenniidae Unknown sp1","Bothidae Unknown spp","Caesionidae Caesio cuning","Caesionidae Caesio teres","Caesionidae Pterocaesio chrysozona","Caesionidae Pterocaesio digramma","Callionymidae Unknown sp1","Carangidae Carangoides caeruleopinnatus","Carangidae Carangoides chrysophrys","Carangidae Carangoides equula","Carangidae Carangoides fulvoguttatus","Carangidae Carangoides gymnostethus","Carangidae Caranx ignobilis","Carangidae Caranx papuensis","Carangidae Decapterus spp","Carangidae Gnathanodon speciosus","Carangidae Seriola dumerili","Carangidae Seriola rivoliana","Carangidae Seriolina nigrofasciata","Carangidae Unknown sp1","Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae Carcharhinus limbatus","Carcharhinidae Carcharhinus plumbeus","Carcharhinidae Carcharhinus sp10","Carcharhinidae Galeocerdo cuvier","Carcharhinidae Loxodon macrorhinus","Carcharhinidae Prionace glauca","Carcharhinidae Rhizoprionodon acutus","Carcharhinidae Triaenodon obesus","Carcharhinidae Unknown sp10","Chaetodontidae Chaetodon assarius","Chaetodontidae Coradion chrysozonus","Chaetodontidae Heniochus acuminatus","Chaetodontidae Heniochus diphreutes","Cirrhitidae Cirrhitichthys falco","Cirrhitidae Cyprinocirrhites polyactis","Congridae Conger spp","Congridae Heteroconger hassi","Echeneidae Echeneis naucrates","Fistulariidae Fistularia commersonii","Gobiidae Amblyeleotris sp10","Haemulidae Diagramma pictum labiosum","Holocentridae Myripristis botche","Labridae Bodianus bilunulatus","Labridae Bodianus solatus","Labridae Choerodon jordani","Labridae Choerodon sp1","Labridae Choerodon vitta","Labridae Choerodon zamboangae","Labridae Coris caudimacula","Labridae Labroides dimidiatus","Labridae Pseudojuloides sp1","Labridae Suezichthys cyanolaemus","Labridae Suezichthys sp1","Labridae Unknown sp1","Labridae Unknown sp7","Labridae Unknown sp8","Lethrinidae Gymnocranius euanus","Lethrinidae Gymnocranius grandoculis","Lethrinidae Gymnocranius griseus","Lethrinidae Gymnocranius sp1","Lethrinidae Lethrinus miniatus","Lethrinidae Lethrinus nebulosus","Lethrinidae Lethrinus olivaceus","Lethrinidae Lethrinus punctulatus","Lethrinidae Lethrinus ravus","Lethrinidae Lethrinus rubrioperculatus","Lethrinidae Lethrinus sp1","Lutjanidae Aphareus furca","Lutjanidae Aprion virescens","Lutjanidae Lutjanus gibbus","Lutjanidae Lutjanus quinquelineatus","Lutjanidae Lutjanus sebae","Lutjanidae Lutjanus vitta","Lutjanidae Pristipomoides filamentosus","Lutjanidae Pristipomoides multidens","Lutjanidae Pristipomoides spp","Lutjanidae Pristipomoides typus","Lutjanidae Symphorus nematophorus","Malacanthidae Hoplolatilus sp1","Malacanthidae Malacanthus brevirostris","Microdesmidae Gunnellichthys monostigma","Microdesmidae Ptereleotris sp1","Microdesmidae Ptereleotris sp2","Monacanthidae Aluterus monoceros","Monacanthidae Eubalichthys caeruleoguttatus","Monacanthidae Nelusetta ayraud","Monacanthidae Paramonacanthus choirocephalus","Mullidae Parupeneus chrysopleuron","Mullidae Parupeneus cyclostomus","Mullidae Parupeneus heptacanthus","Mullidae Parupeneus indicus","Mullidae Parupeneus spilurus","Muraenidae Gymnothorax nudivomer","Muraenidae Gymnothorax prionodon","Muraenidae Gymnothorax sp1","Muraenidae Gymnothorax sp3","Muraenidae Gymnothorax sp4","Muraenidae Gymnothorax sp5","Muraenidae Gymnothorax sp8","Muraenidae Gymnothorax thyrsoideus","Muraenidae Gymnothorax undulatus","Nemipteridae Nemipterus spp","Nemipteridae Parascolopsis eriomma","Nemipteridae Parascolopsis inermis","Nemipteridae Pentapodus nagasakiensis","Nemipteridae Scolopsis affinis","Orectolobidae Orectolobus sp1","Pinguipedidae Parapercis clathrata","Pinguipedidae Parapercis nebulosa","Pinguipedidae Parapercis sp1","Pinguipedidae Parapercis sp10","Pomacanthidae Apolemichthys trimaculatus","Pomacanthidae Chaetodontoplus personifer","Pomacanthidae Genicanthus lamarck","Pomacanthidae Pomacanthus imperator","Pomacanthidae Pomacanthus semicirculatus","Pomacentridae Pristotis obtusirostris","Priacanthidae Priacanthus blochii","Priacanthidae Priacanthus hamrur","Priacanthidae Priacanthus sp1","Priacanthidae Priacanthus sp10","Pteroidae Pterois volitans","Rachycentridae Rachycentron canadum","Rhinidae Rhynchobatus australiae","Scaridae Scarus ghobban","Scaridae Scarus sp3","Scombridae Scomberomorus commerson","Scombridae Scomberomorus spp","Serranidae Cephalopholis sonnerati","Serranidae Cephalopholis spiloparaea","Serranidae Epinephelus areolatus","Serranidae Epinephelus morrhua","Serranidae Epinephelus multinotatus","Serranidae Epinephelus rivulatus","Serranidae Epinephelus tukula","Serranidae Pseudanthias cooperi","Serranidae Pseudanthias georgei","Serranidae Variola louti","Sparidae Argyrops spinifer","Sparidae Chrysophrys auratus","Sparidae Dentex carpenteri","Sphyraenidae Sphyraena qenie","Sphyraenidae Sphyraena sp10","Sphyrnidae Sphyrna lewini","Sphyrnidae Sphyrna mokarran","Synodontidae Saurida undosquamis","Synodontidae Synodus sp10","Tetraodontidae Canthigaster rivulata","Tetraodontidae Lagocephalus lunaris","Tetraodontidae Lagocephalus sceleratus","Triakidae Hemitriakis falcata","Triakidae Hypogaleus hyugaensis","Triakidae Mustelus ravidus","Veliferidae Velifer hypselopterus"
1.01,-22.84786205,113.5404917,12082019,09:23:00,1,"?",0.421052631578947,0.507257273501788,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
1.02,-22.85016136,113.5252875,12082019,09:35:00,1,"?",0.88,0.33166247903554,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1.03,-22.84437,113.51304,12082019,09:43:00,1,"?",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.04,-22.8402743,113.5183981,12082019,09:51:00,1,"?",0.44,0.506622805119022,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.05,-22.83417,113.51601,12082019,09:58:00,1,"?",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.06,-22.83153691,113.523387,12082019,10:06:00,1,"?",0.44,0.506622805119022,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2.02,-22.83153691,113.5625852,12082019,11:47:00,2,"?",0.904761904761905,0.300792603759119,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,10,0,0,0,0
2.03,-22.82900766,113.5659111,12082019,11:57:00,2,"?",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
2.04,-22.82440903,113.5815904,12082019,12:05:00,2,"?",0.769230769230769,0.42966892442366,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2.05,-22.82256957,113.5770767,12082019,12:12:00,2,"?",1,0,0,100,0,0,0,0,0,0,100,"2019-08_Ningaloo_stereo-BRUVs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
